City,2013pop,area_sq_miles,state_id
New York,8405837,302.6,33
Los Angeles,3884307,468.7,5
Chicago,2718782,227.6,14
Houston,2195914,599.6,44
Philadelphia,1553165,134.1,39
Phoenix,1513367,516.7,3
San Antonio,1409019,460.9,44
San Diego,1355896,325.2,5
Dallas,1257676,340.5,44
San Jose,998537,176.5,5
Austin,885400,297.9,44
Indianapolis,843393,361.4,15
Jacksonville,842583,747,10
San Francisco,837442,46.9,5
Columbus,822553,217.2,36
Charlotte,792862,297.7,34
Fort Worth,792727,339.8,44
Detroit,688701,138.8,23
El Paso,674433,255.2,44
Memphis,653450,315.1,43
Seattle,652405,83.9,48
Denver,649495,153,6
Washington,646449,61,9
Boston,645966,48.3,22
Nashville,634464,475.1,43
Baltimore,622104,80.9,21
Oklahoma City,610613,606.4,37
Louisville,609893,325.2,18
Portland,609456,133.4,38
Las Vegas,603488,135.8,29
Milwaukee,599164,96.1,50
Albuquerque,556495,187.7,32
Tucson,526116,226.7,3
Fresno,509924,112,5
Sacramento,479686,97.9,5
Long Beach,469428,50.3,5
Kansas City,467007,315,26
Mesa,457587,136.5,3
Virginia Beach,448479,249,47
Atlanta,447841,133.2,11
Colorado Springs,439886,194.5,6
Omaha,434353,127.1,28
Raleigh,431746,142.9,34
Miami,417650,35.9,10
Oakland,406253,55.8,5
Minneapolis,400070,54,24
Tulsa,398121,196.8,37
Cleveland,390113,77.7,36
Wichita,386552,159.3,17
Arlington,379577,95.9,44
