id,name,population,pct_non_hisp_white,pct_hisp,pct_black,pct_na,pct_asian,pct_hpi,pct_mixed,region
1,Alabama,4822023,67,3.9,26.2,0.6,1.1,0,1.5,s
2,Alaska,731449,64.1,5.5,3.3,14.8,5.4,1,7.3,w
3,Arizona,6553255,57.8,29.6,4.1,4.6,2.8,0.2,3.4,w
4,Arkansas,2949131,74.5,6.4,15.4,0.8,1.2,0.2,2,s
5,California,38041430,40.1,37.6,6.2,1,13,0.4,4.9,w
6,Colorado,5187582,70,20.7,4,1.1,2.8,0.1,3.4,w
7,Connecticut,3590347,71.2,13.4,10.1,0.3,3.8,0,2.6,n
8,Delaware,917092,65.3,8.2,21.4,0.5,3.2,0,2.7,s
9,District of Columbia,632323,35.5,9.9,50.1,0.6,3.8,0.2,2.5,s
10,Florida,19317568,57.9,22.5,16,0.4,2.4,0.1,2.5,s
11,Georgia,9919945,55.9,8.8,30.5,0.3,3.2,0.1,2.1,s
12,Hawaii,1392313,22.7,8.9,1.6,0.3,38.6,10,23.6,w
13,Idaho,1595728,84,11.2,0.6,1.4,1.2,0.1,2.5,w
14,Illinois,12875255,63.7,15.8,14.5,0.3,4.6,0,2.3,m
15,Indiana,6537334,81.5,6,9.1,0.3,1.6,0,2,m
16,Iowa,3074186,88.7,5,2.9,0.4,1.7,0.1,1.8,m
17,Kansas,2885905,78.2,10.5,5.9,1,2.4,0.1,3,m
18,Kentucky,4380415,86.3,3.1,7.8,0.2,1.1,0.1,1.7,s
19,Louisiana,4601893,60.3,4.2,32,0.7,1.5,0,1.6,s
20,Maine,1329192,94.4,1.3,1.2,0.6,1,0,1.6,n
21,Maryland,5884563,54.7,8.2,29.4,0.4,5.5,0.1,2.9,s
22,Massachusetts,6646144,76.1,9.6,6.6,0.3,5.3,0,2.6,n
23,Michigan,9883360,76.6,4.4,14.2,0.6,2.4,0,2.3,m
24,Minnesota,5379139,83.1,4.7,5.2,1.1,4,0,2.4,m
25,Mississippi,2984926,58,2.7,37,0.5,0.9,0,1.1,s
26,Missouri,6021988,81,3.5,11.6,0.5,1.6,0.1,2.1,s
27,Montana,1005141,87.8,2.9,0.4,6.3,0.6,0.1,2.5,w
28,Nebraska,1855525,82.1,9.2,4.5,1,1.8,0.1,2.2,m
29,Nevada,2758931,54.1,26.5,8.1,1.2,7.2,0.2,4.7,w
30,New Hampshire,1320718,92.3,2.8,1.1,0.2,2.2,0,1.6,n
31,New Jersey,8864590,59.3,17.7,13.7,0.3,8.3,0,2.7,n
32,New Mexico,2085538,40.5,46.3,2.1,9.4,1.4,0.1,3.7,w
33,New York,19570261,58.3,17.6,15.9,0.6,7.3,0,3,n
34,North Carolina,9656401,65.3,8.4,21.5,1.3,2.2,0.1,2.2,s
35,North Dakota,699628,88.9,2,1.2,5.4,1,0,1.8,m
36,Ohio,11544225,81.1,3.1,12.2,0.2,1.7,0,2.1,m
37,Oklahoma,3814820,68.7,8.9,7.4,8.6,1.7,0.1,5.9,s
38,Oregon,3899353,78.5,11.7,1.8,1.4,3.7,0.3,3.8,w
39,Pennsylvania,12763536,79.5,5.7,10.8,0.2,2.7,0,1.9,n
40,Rhode Island,1050292,76.4,12.4,5.7,0.6,2.9,0.1,3.3,n
41,South Carolina,4723723,64.1,5.1,27.9,0.4,1.3,0.1,1.7,s
42,South Dakota,833354,84.7,2.7,1.3,8.8,0.9,0,2.1,m
43,Tennessee,6456243,75.6,4.6,16.7,0.3,1.4,0.1,1.7,s
44,Texas,26059203,45.3,37.6,11.8,0.7,3.8,0.1,2.7,s
45,Utah,2855287,80.4,13,1.1,1.2,2,0.9,2.7,w
46,Vermont,626011,94.3,1.5,1,0.4,1.3,0,1.7,n
47,Virginia,8185867,64.8,7.9,19.4,0.4,5.5,0.1,2.9,s
48,Washington,6897012,72.5,11.2,3.6,1.5,7.2,0.6,4.7,w
49,West Virginia,1855413,93.2,1.2,3.4,0.2,0.7,0,1.5,s
50,Wisconsin,5726386,83.3,5.9,6.3,1,2.3,0,1.8,m
51,Wyoming,576412,85.9,8.9,0.8,2.4,0.8,0.1,2.2,w
